表題：,都道府県・市区町村のすがた（社会・人口統計体系）
公開日：,2025年10月31日

***,***,***,***,/項目 コード,A1101,C1224,D310412
調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,C1224_企業所得（平成27年基準）【百万円】,D310412_貸付金（都道府県財政）【千円】,貸出金【億円】
2019100000,2019年度,42000,長崎県,***,"1,327,000","759,860","20,234,491",335368
2019100000,2019年度,43000,熊本県,***,"1,749,000","1,327,058","51,893,990",515094
2019100000,2019年度,44000,大分県,***,"1,134,000","749,767","29,612,497",289150
2019100000,2019年度,45000,宮崎県,***,"1,077,000","692,876","26,238,628",313688
2019100000,2019年度,46000,鹿児島県,***,"1,602,000","1,326,407","2,389,723",456632
2019100000,2019年度,47000,沖縄県,***,"1,462,000","747,174","19,675,318",477111
2018100000,2018年度,1000,北海道,***,"5,293,000","3,790,560","151,006,789",1230877
2018100000,2018年度,2000,青森県,***,"1,268,000","964,426","35,746,606",318670
2018100000,2018年度,3000,岩手県,***,"1,240,000","1,073,405","124,225,008",285202
2018100000,2018年度,4000,宮城県,***,"2,320,000","1,883,747","75,470,268",810367
2018100000,2018年度,5000,秋田県,***,"985,000","761,176","55,386,765",245880
2018100000,2018年度,6000,山形県,***,"1,092,000","848,839","59,070,401",292709
2018100000,2018年度,7000,福島県,***,"1,869,000","1,485,304","82,681,735",428085
2018100000,2018年度,8000,茨城県,***,"2,892,000","2,929,632","50,586,953",693990
2018100000,2018年度,9000,栃木県,***,"1,953,000","2,277,939","54,298,322",571383
2018100000,2018年度,10000,群馬県,***,"1,957,000","2,123,531","31,751,690",495320
2018100000,2018年度,11000,埼玉県,***,"7,325,000","4,382,103","8,330,030",1918708
2018100000,2018年度,12000,千葉県,***,"6,273,000","3,633,107","129,356,644",1740116
2018100000,2018年度,13000,東京都,***,"13,887,000","31,282,519","278,174,720",25314182
2018100000,2018年度,14000,神奈川県,***,"9,197,000","4,281,113","7,218,212",2299383
2018100000,2018年度,15000,新潟県,***,"2,246,000","1,776,004","47,575,307",591999
2018100000,2018年度,16000,富山県,***,"1,050,000","1,032,373","18,282,041",398677
2018100000,2018年度,17000,石川県,***,"1,145,000","791,848","37,986,384",355374
2018100000,2018年度,18000,福井県,***,"777,000","622,639","12,618,807",212956
2018100000,2018年度,19000,山梨県,***,"821,000","762,630","33,256,355",134598
2018100000,2018年度,20000,長野県,***,"2,073,000","1,328,075","29,392,330",426652
2018100000,2018年度,21000,岐阜県,***,"2,001,000","1,582,269","26,899,316",385285
2018100000,2018年度,22000,静岡県,***,"3,667,000","3,990,427","8,261,104",1198756
2018100000,2018年度,23000,愛知県,***,"7,541,000","8,944,762","190,086,940",2329458
2018100000,2018年度,24000,三重県,***,"1,793,000","1,699,543","5,317,350",424378
2018100000,2018年度,25000,滋賀県,***,"1,414,000","1,369,911","14,529,723",408829
